Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2024-07-15,MFP iOS calorie adjustment,Cardio,2.0,1,,,,1128,
2024-07-16,MFP iOS calorie adjustment,Cardio,0.0,1,,,,924,
2024-07-17,MFP iOS calorie adjustment,Cardio,28.0,1,,,,3709,
2024-07-18,MFP iOS calorie adjustment,Cardio,138.0,1,,,,10611,
2024-07-19,MFP iOS calorie adjustment,Cardio,36.0,1,,,,3900,
2024-07-20,MFP iOS calorie adjustment,Cardio,49.0,1,,,,8007,
2024-07-21,MFP iOS calorie adjustment,Cardio,0.0,1,,,,917,
2024-07-22,MFP iOS calorie adjustment,Cardio,0.0,1,,,,2117,
2024-07-23,MFP iOS calorie adjustment,Cardio,3.0,1,,,,2065,
2024-07-24,MFP iOS calorie adjustment,Cardio,134.0,1,,,,11397,
2024-07-25,MFP iOS calorie adjustment,Cardio,7.0,1,,,,2172,
2024-07-26,MFP iOS calorie adjustment,Cardio,85.0,1,,,,8845,
2024-07-27,MFP iOS calorie adjustment,Cardio,154.0,1,,,,12052,
2024-07-28,MFP iOS calorie adjustment,Cardio,152.0,1,,,,13496,
2024-07-29,MFP iOS calorie adjustment,Cardio,63.0,1,,,,5546,
2024-07-30,MFP iOS calorie adjustment,Cardio,62.0,1,,,,5117,
2024-07-31,MFP iOS calorie adjustment,Cardio,77.0,1,,,,7431,
2024-08-01,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1124,
2024-08-02,MFP iOS calorie adjustment,Cardio,3.0,1,,,,1612,
2024-08-03,MFP iOS calorie adjustment,Cardio,235.0,1,,,,17906,
2024-08-04,MFP iOS calorie adjustment,Cardio,46.0,1,,,,5326,
2024-08-05,MFP iOS calorie adjustment,Cardio,5.0,1,,,,1537,
2024-08-06,MFP iOS calorie adjustment,Cardio,4.0,1,,,,1530,
2024-08-07,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1249,
2024-08-08,MFP iOS calorie adjustment,Cardio,1.0,1,,,,1399,
2024-08-09,MFP iOS calorie adjustment,Cardio,4.0,1,,,,3434,
2024-08-10,MFP iOS calorie adjustment,Cardio,31.0,1,,,,7563,
2024-08-11,MFP iOS calorie adjustment,Cardio,11.0,1,,,,3760,
2024-08-12,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1321,
2024-08-13,MFP iOS calorie adjustment,Cardio,10.0,1,,,,3342,
2024-08-14,MFP iOS calorie adjustment,Cardio,0.0,1,,,,996,
2024-08-15,MFP iOS calorie adjustment,Cardio,18.0,1,,,,3712,
2024-08-16,MFP iOS calorie adjustment,Cardio,8.0,1,,,,2930,
2024-08-17,MFP iOS calorie adjustment,Cardio,2.0,1,,,,904,
2024-08-18,MFP iOS calorie adjustment,Cardio,1.0,1,,,,1113,
2024-08-19,MFP iOS calorie adjustment,Cardio,1.0,1,,,,966,
2024-08-20,MFP iOS calorie adjustment,Cardio,3.0,1,,,,1027,
2024-08-21,MFP iOS calorie adjustment,Cardio,4.0,1,,,,1386,
2024-08-22,MFP iOS calorie adjustment,Cardio,13.0,1,,,,2521,
2024-08-23,MFP iOS calorie adjustment,Cardio,61.0,1,,,,10368,
2024-08-24,MFP iOS calorie adjustment,Cardio,88.0,1,,,,9111,
2024-08-25,MFP iOS calorie adjustment,Cardio,140.0,1,,,,10898,
2024-08-26,MFP iOS calorie adjustment,Cardio,46.0,1,,,,4756,
2024-08-27,MFP iOS calorie adjustment,Cardio,16.0,1,,,,2511,
2024-08-28,MFP iOS calorie adjustment,Cardio,3.0,1,,,,1520,
2024-08-29,MFP iOS calorie adjustment,Cardio,105.0,1,,,,9852,
2024-08-30,MFP iOS calorie adjustment,Cardio,1.0,1,,,,1241,
2024-08-31,MFP iOS calorie adjustment,Cardio,109.0,1,,,,7960,
2024-09-01,MFP iOS calorie adjustment,Cardio,3.0,1,,,,2586,
2024-09-02,MFP iOS calorie adjustment,Cardio,2.0,1,,,,1327,
2024-09-03,MFP iOS calorie adjustment,Cardio,5.0,1,,,,1110,
2024-09-04,MFP iOS calorie adjustment,Cardio,11.0,1,,,,1819,
2024-09-05,MFP iOS calorie adjustment,Cardio,3.0,1,,,,1370,
2024-09-06,MFP iOS calorie adjustment,Cardio,0.0,1,,,,2134,
2024-09-07,MFP iOS calorie adjustment,Cardio,12.0,1,,,,3982,
2024-09-08,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1030,
2024-09-09,MFP iOS calorie adjustment,Cardio,5.0,1,,,,1762,
2024-09-10,MFP iOS calorie adjustment,Cardio,1.0,1,,,,1162,
2024-09-11,MFP iOS calorie adjustment,Cardio,1.0,1,,,,1145,
2024-09-12,MFP iOS calorie adjustment,Cardio,135.0,1,,,,10449,
2024-09-13,MFP iOS calorie adjustment,Cardio,20.0,1,,,,3262,
2024-09-14,MFP iOS calorie adjustment,Cardio,96.0,1,,,,7446,
2024-09-15,MFP iOS calorie adjustment,Cardio,40.0,1,,,,4016,
2024-09-16,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1180,
2024-09-17,MFP iOS calorie adjustment,Cardio,23.0,1,,,,2242,
2024-09-18,MFP iOS calorie adjustment,Cardio,14.0,1,,,,2399,
2024-09-19,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1195,
